Producto,Producción/Valor,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
JUDÍAS VERDES,Producción,"276,5","260,8","255,9","247,3","246,0","222,7","246,7","264,0","273,3","297,5","285,9","269,8","280,5","258,6","229,4","233,5","247,9","220,4","187,7","196,1","144,3"
SANDÍA,Valor,"167.762,0","128.695,0","76.594,0","67.587,0","135.933,0","115.168,0","115.218,0","110.691,0","140.750,0","127.538,0","127.927,0","136.375,0","119.280,0","221.600,0","143.489,0","142.485,0","157.802,0","190.776,0","268.149,2","196.466,0","314.067,0"
AJO,Producción,"213,2","251,6","227,0","206,3","210,7","173,6","212,9","204,1","169,6","178,1","162,8","175,1","194,7","170,2","165,4","136,4","145,4","151,7","133,6","154,6","136,6"
MELÓN,Valor,"227.426,8","252.389,0","240.362,6","183.951,7","273.605,9","213.835,8","213.316,6","287.415,3","253.611,5","270.129,0","281.952,0","267.689,6","259.469,0","339.249,0","318.561,0","280.808,0","337.363,0","409.844,5","438.449,8","296.322,1","343.061,7"
PLATANERA, Producción (toneladas),"416,3","373,3","368,1","348,6","338,0","376,7","335,6","406,4","438,5","364,9","397,0","421,9","408,7","402,1","418,1","345,2","348,4","358,1","371,2","352,5","130,0"
PEPINO,Valor,"102.732,0","100.223,0","98.649,0","134.157,0","97.790,0","123.645,0","155.256,0","160.027,0","153.102,0","161.703,0","164.851,0","302.870,0","210.721,0","294.062,0","194.692,0","237.474,0","266.389,0","271.362,0","297.618,9","238.896,0","322.047,0"
CHAMPIÑÓN,Producción,"74,5","29,7","67,1","67,1","70,8","75,9","71,5","77,8","60,2","61,8","62,8","109,6","126,1","120,9","128,9","127,2","126,5","123,3","118,4","125,0","121,0"
CALABACÍN,Valor,"57.615,0","53.505,0","58.892,0","58.776,0","67.411,0","77.095,0","82.621,0","94.018,0","152.989,0","134.870,0","128.156,0","145.112,0","148.648,0","166.990,0","112.675,0","147.358,0","153.426,0","137.237,0","177.885,9","155.521,0","201.171,0"
ALGODÓN BRUTO,Producción,"259,4","260,4","209,5","90,4","137,7","101,2","277,7","366,8","335,9","388,4","294,6","318,2","304,5","295,1","351,6","343,8","145,1","127,2","55,7","79,2","115,1"
BERENJENA,Valor,"46.945,0","40.369,0","44.277,0","36.528,0","43.234,0","55.155,0","55.452,0","65.914,0","63.745,0","59.452,0","68.388,0","59.647,0","73.655,0","94.646,0","90.066,0","116.843,0","90.581,0","99.480,0","128.841,4","103.303,0","114.935,0"
VEZA,Producción,"41,9","37,6","23,0","37,7","39,3","39,3","198,1","147,1","121,8","103,2","132,7","88,2","127,4","140,3","129,0","44,4","39,6","31,9","23,6","41,0","103,7"
TOMATE,Valor,"986.994,0","696.176,0","606.764,0","810.783,0","847.704,0","793.691,0","984.007,0","1.040.460,0","1.205.116,0","1.243.781,0","1.628.654,0","1.334.885,0","1.829.476,0","1.937.743,0","1.806.318,0","2.510.496,0","1.415.326,0","1.622.795,0","1.508.533,0","1.556.488,0","1.629.341,0"
CEREZO Y GUINDO,Producción,"54,9","73,1","89,2","82,3","71,6","57,0","76,0","75,9","62,3","110,2","113,5","90,1","115,2","108,0","83,5","95,7","91,7","75,7","72,5","97,6","85,1"
