Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
1990,724,2,810,"H0","080710",8,1875,1875,3231,0
1990,724,2,826,"H0","080710",8,75777064,75777064,54920020,0
1990,724,2,890,"H0","080710",8,41929,41929,73848,0
1990,724,1,899,"H0","080710",8,128,128,351,0
1990,724,2,899,"H0","080710",8,30,30,9,0
1991,724,1,0,"H0","080710",8,951134,951134,656015,0
1991,724,2,0,"H0","080710",8,336764576,336764576,195493792,0
1991,724,2,20,"H0","080710",8,358875,358875,328718,0
1991,724,2,40,"H0","080710",8,7139097,7139097,3311021,0
1991,724,2,58,"H0","080710",8,10049757,10049757,6320670,0
1991,724,1,152,"H0","080710",8,10812,10812,3046,0
1991,724,2,200,"H0","080710",8,343187,343187,184723,0
1991,724,2,208,"H0","080710",8,4971300,4971300,2813230,0
1991,724,2,246,"H0","080710",8,3799375,3799375,1770870,0
1991,724,1,251,"H0","080710",8,95863,95863,110013,0
1991,724,2,251,"H0","080710",8,64520352,64520352,36513832,0
1991,724,2,276,"H0","080710",8,81232496,81232496,41948536,0
1991,724,2,292,"H0","080710",8,62890,62890,50553,0
1991,724,1,300,"H0","080710",8,101656,101656,26998,0
1991,724,2,300,"H0","080710",8,637875,637875,359842,0
1991,724,2,348,"H0","080710",8,64839,64839,29465,0
1991,724,2,372,"H0","080710",8,1114250,1114250,664752,0
1991,724,1,376,"H0","080710",8,249531,249531,358509,0
1991,724,1,381,"H0","080710",8,150960,150960,69781,0
1991,724,2,381,"H0","080710",8,22975776,22975776,11732782,0
1991,724,2,478,"H0","080710",8,488,488,725,0
1991,724,1,528,"H0","080710",8,1062,1062,2085,0
1991,724,2,528,"H0","080710",8,34614272,34614272,23361404,0
1991,724,2,579,"H0","080710",8,4026187,4026187,2044548,0
1991,724,2,616,"H0","080710",8,1678750,1678750,707072,0
1991,724,1,620,"H0","080710",8,341250,341250,85583,0
1991,724,2,620,"H0","080710",8,4805886,4805886,2956319,0
1991,724,2,752,"H0","080710",8,6461210,6461210,3489582,0
1991,724,2,757,"H0","080710",8,9061117,9061117,6443001,0
1991,724,2,826,"H0","080710",8,78770624,78770624,50410256,0
1991,724,2,837,"H0","080710",8,11875,11875,10740,0
1991,724,2,890,"H0","080710",8,64101,64101,41155,0
